"country","revenue_usd","revenue_gdp","source_currency","exchange_rate","conversion_date","source","source_url","exchange_rate_source","exchange_rate_source_url"
"Colombia",85966284603.5257,26.2,"Peso",2983.8,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Costa Rica",15963270963.271,26.6,"Colon",577.2,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Czech Republic",83076416956.4809,33.2,"Koruna",21.278,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Dominican Republic",12984503924.3309,16.1,"Peso",49.69,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"El Salvador",6613600000,25.3,"Dolares",1,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Georgia",4075230769.23077,23.8,"Lari",2.6,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Iceland",7886816256.64594,31.4,"Krona",110.97,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Indonesia",130328638497.653,13.1,"Rupiah",14910,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Israel",121441199119.912,33.2,"Shekel",3.636,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Ivory Coast",8081771170.00646,18.8,"Cfa Franc",556.92,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Jordan",16118644067.7966,38.1,"Dinar",0.708,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Kazakhstan",28239179702.6146,17.1,"Tenge",361.82,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Kenya",17582341269.8413,19.9,"Shilling",100.8,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Korea",474903126971.253,27.8,"Won",1109.7,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Kyrgyzstan",2448014492.75362,30.3,"Som",69,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Macao",17476912500,31.4,"Mop",8,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Mauritius",3263094890.51095,23,"Rupee",34.25,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Mexico",235348356957.053,18.8,"New Peso",18.837,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Moldova",3190292877.08668,28.3,"Leu",16.833,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Mongolia",3786326901.84616,30,"Tugrik",2545.29,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"New Zealand",65099073461.2839,33.1,"Dollar",1.511,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"North Macedonia",3400302514.65305,27.3,"Denar(Ariary)",52.89,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Paraguay",6459707084.46867,15.8,"Guarani",5872,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Peru",42272261001.5174,18.8,"Nuevo Sol",3.295,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Russia",520396807297.605,32.8,"Ruble",65.775,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Rwanda",2343863636.36364,25.2,"Franc",880,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"San Marino",668366164.542294,41.6,"Euro",0.863,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Saudi Arabia",2.7752e+11,35.3,"Riyal",3.75,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Senegal",5611757523.52223,24,"Cfa Franc",556.92,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Seychelles",630533333.333333,38.7,"Rupee",13.5,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Singapore",67591228070.1754,18.8,"Dollar",1.368,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Slovak Republic",39852491309.3859,38.1,"Euro",0.863,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Somalia",480521.739130435,5.9,"Shilling",575,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"South Africa",108618263683.692,31.7,"Rand",14.214,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Switzerland",129227635619.243,18.3,"Franc",0.977,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Thailand",98519319938.1762,19.5,"Baht",32.35,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Timor-Leste",1238700000,45.1,"Leste Dili",1,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Turkey",192085134685.733,31,"Lira",6.014,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Uganda",4075575916.23037,14.8,"Shilling",3820,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Ukraine",40814092035.3982,32.4,"Hryvnia",28.25,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"United Arab Emirates",19219275796.3518,4.5,"Dirham",3.673,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"United States",3328745244718.2,0.163422926359214,"Dollar",1,"09/30/2018","Bureau of the Fiscal Service","https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Uruguay",19116034011.5396,34.4,"Peso",32.93,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Uzbekistan",11169963235.2941,22.4,"Som",8160,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Western Samoa",300517947.70206,34.3,"Tala",2.524,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Austria",140429548088.065,31.4,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Belgium",140421436848.204,26.3,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Bulgaria",16563035921.2051,25.5,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Croatia",17572653534.1831,29.2,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Cyprus",7416338354.57706,29.9,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Czechia",71543453070.6837,29.3,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Denmark",132519814600.232,37.8,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Estonia",9944495944.38007,33.1,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Finland",66791425260.7184,24.7,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"France",540450753186.559,19.8,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Germany",512504055619.93,13.2,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Greece",74422943221.321,35.7,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Hungary",48543453070.6837,30.8,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Ireland",92534530706.8366,24.4,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Italy",558892236384.704,27.2,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Latvia",7545538818.07648,22.3,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Lithuania",11448899188.876,21.7,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Luxembourg",21752259559.6756,31.3,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Malta",5549826187.71727,38.3,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Netherlands",235507531865.585,26.3,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Norway",204518539976.825,48,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Poland",126971031286.211,22,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Portugal",71568597914.2526,30.1,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Romania",48776825028.9687,20.6,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Slovakia",25547045191.1935,24.6,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Slovenia",14082618771.7265,26.5,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Spain",247176129779.838,17.7,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Sweden",168436616454.229,30.9,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"United Kingdom",999451564310.545,35.6,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
