"year","category","amount","source_url","source_url_name"
2020,"federal revenue",3419955005765,"https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government","Monthly Treasury Statement"
2020,"federal spending",6551872254654,"https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government","Monthly Treasury Statement"
2020,"federal deficit",-3131917248888,"https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government","Monthly Treasury Statement"
