"year","category","amount","source_url","source_url_name"
2020,"federal debt",2.6945391e+13,"https://fiscaldata.treasury.gov/datasets/monthly-statement-public-debt/summary-of-treasury-securities-outstanding","Monthly Statement of the Public Debt"
2020,"federal deficit",-3131917248888,"https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government","Monthly Treasury Statement"
2020,"gdp",2.09966e+13,"https://apps.bea.gov/iTable/index_nipa.cfm","Bureau of Economic Analysis"
2020,"federal debt percent of gdp",1.2833216330263,NA,NA
