"Legislation","Agency","Loan_Program_Account","Amount_Outlayed","Amount_Obligated","Amount_Unobligated","Total_Budgetary_Resources","Percent_Outlayed","Percent_Obligated_Not_Outlayed","Percent_Unobligated"
"1","Agency for International Dev.","No",183504794.91,853467194.34,128832805.66,982300000,18.7,68.2,13.1
"1","Dept. of State","No",156736849.88,253638807,14061193,267700000,58.5,36.2,5.3
"1","Health & Human Services","No",1392467082.4,5244062857.7,1252937142.3,6497000000,21.4,59.3,19.3
"1","Small Business Administration","Yes",20000000,20000000,0,20000000,100,0,0
"2","Dept. of Agriculture","No",11081547577.87,15938650534.99,1861349465.01,17800000000,62.2,27.3,10.5
"2","Dept. of Defense","No",5227431.75,61201680,20798320,82000000,6.4,68.2,25.4
"2","Dept. of the Treasury","No",3360399.28,14988400,11600,15000000,22.4,77.5,0.1
"2","Dept. of Veterans Affairs","No",20940100.12,30000000,30000000,60000000,34.9,15.1,50
"2","Health & Human Services","No",718995382.68,803112145.98,510887854.02,1314000000,54.7,6.4,38.9
"3","Agency for International Dev.","No",44424127.08,305162269.91,42276036.58,347438306.49,12.8,75,12.2
"3","Dept. of Agriculture","No",32150236012.99,36909552754.72,18486997245.28,55396550000,58,8.6,33.4
"3","Dept. of Agriculture","Yes",1662939.59,7432436.94,13067563.06,20500000,8.1,28.1,63.8
"3","Dept. of Commerce","No",43171394.33,1197703250.7,698296749.3,1896000000,2.3,60.9,36.8
"3","Dept. of Defense","No",4189618769.29,7577978651.89,1730195348.11,9308174000,45,36.4,18.6
"3","Dept. of Defense","Yes",0,0,100000000,100000000,0,0,100
"3","Dept. of Education","No",38092614108.91,57032753931.21,644965797.07,57677719728.28,66.1,32.8,1.1
"3","Dept. of Energy","No",84926924.81,120453248.81,7046751.19,127500000,66.6,27.9,5.5
"3","Dept. of Homeland Security","No",126235093.3,29823691842.07,16338495157.93,46162187000,0.3,64.3,35.4
"3","Dept. of Justice","No",403253076.13,901344698.08,5655301.92,907000000,44.5,54.9,0.6
"3","Dept. of Labor","No",345492643294,358305128687.64,127123956.81,358432252644.45,96.4,3.6,0
"3","Dept. of State","No",472594283.3,574805072.89,99194927.11,674000000,70.1,15.2,14.7
"3","Dept. of the Interior","No",579947481.78,692631176.11,251259602.89,943890779,61.5,11.9,26.6
"3","Dept. of the Treasury","No",425257469250.9,425948337333.41,474041679.61,426422379013.02,99.7,0.2,0.1
"3","Dept. of the Treasury","Yes",47471874980.67,60044801761.01,471930198238.99,531975000000,8.9,2.4,88.7
"3","Dept. of Transportation","No",16122983147.34,33685116905.36,2400020094.64,36085137000,44.7,48.7,6.6
"3","Dept. of Veterans Affairs","No",5509455839.3,7450399531.46,12119100468.54,19569500000,28.2,9.9,61.9
"3","Election Assistance Commission","No",397205287,400000000,0,400000000,99.3,0.7,0
